Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
400000,28,2,best
322311,12,10,best
321928,34,8,best
370927,36,5,best
339659,26,9,best
400000,36,3,first
400000,32,3,first
306743,11,15,best
320416,28,8,first
400000,32,1,first
323601,11,12,best
400000,33,4,first
323706,22,7,best
324429,6,15,first
324420,27,8,first
400000,39,2,best
322752,19,9,best
337907,34,7,best
324899,8,14,first
368808,40,6,best
337427,24,9,best
320989,13,10,best
321006,27,7,first
307210,2,19,best
321524,9,15,best
307620,9,10,first
290053,10,13,first
352902,31,6,first
322034,10,10,first
321706,13,14,best
354894,28,6,first
277121,11,13,first
323357,25,9,best
385214,40,5,best
339218,19,11,best
306907,11,14,best
353723,32,8,first
384340,29,4,first
322149,15,9,first
321649,15,11,best
400000,25,1,best
355669,22,5,first
323430,24,6,best
320742,7,15,first
323174,14,16,best
324834,35,8,first
400000,28,1,first
355206,38,6,first
325126,33,7,first
400000,33,2,first
320578,9,13,first
400000,22,2,first
400000,29,3,first
308908,16,11,best
293553,12,15,best
400000,34,1,first
400000,36,2,best
307830,12,13,best
306484,7,17,best
322096,11,16,first
354721,39,5,best
370635,38,5,best
320378,14,10,best
400000,40,2,best
321341,7,16,first
322338,20,11,best
400000,34,2,best
278373,14,11,first
400000,35,1,first
322016,21,9,first
321517,23,8,first
290460,10,17,best
322118,1,21,best
322042,15,10,best
322120,10,15,best
337187,12,16,best
322352,14,14,best
321447,12,12,best
306875,15,13,best
321418,11,17,best
369457,32,4,best
307491,3,18,best
321045,17,11,best
353935,39,6,best
321036,8,15,first
400000,37,1,best
354260,34,5,first
321697,9,17,best
306778,2,21,best
384533,32,5,best
339173,29,7,first
400000,35,3,best
322716,23,9,first
339093,38,8,best
340895,31,8,first
279352,8,13,first
400000,38,3,best
400000,37,2,first
276535,3,19,best
321537,27,6,best
321816,1,20,best
400000,32,2,first
324204,28,9,best
320802,16,13,best
339203,31,7,first
400000,30,1,first
306582,7,10,first
307262,13,16,best
343157,40,4,first
305265,2,19,first
276779,12,14,first
321494,17,10,best
400000,19,1,first
305343,20,9,first
400000,27,1,best
308324,13,12,best
337873,33,6,first
400000,40,1,best
325862,26,7,best
354485,40,6,first
353857,37,8,best
324005,21,11,best
292447,8,12,first
305551,9,16,first
322318,13,11,first
400000,33,1,first
355191,36,7,first
338529,36,8,first
356835,38,7,best
306876,10,12,best
400000,39,2,first
337199,29,9,best
322023,25,9,first
400000,38,4,best
320755,30,6,best
326450,34,8,first
309055,3,21,best
355861,36,5,first
400000,38,1,first
323443,14,13,first
400000,28,2,first
338922,27,9,best
400000,40,3,best
337087,30,8,first
306455,4,21,best
338287,22,11,best
337247,40,8,best
400000,33,3,best
