Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
365393,2,19,first
329721,12,14,first
384298,17,10,best
400000,19,1,first
365438,20,9,first
400000,27,1,best
368047,13,12,best
387574,33,6,first
400000,40,1,best
385172,26,7,best
390897,40,6,first
390771,37,8,best
384801,21,11,best
348521,8,12,first
365818,9,16,first
370305,13,11,first
400000,33,1,first
391038,36,7,first
387706,36,8,first
391367,38,7,best
365950,10,12,best
400000,39,2,first
387440,29,9,best
384405,25,9,first
400000,38,4,best
384151,30,6,best
385290,34,8,first
367613,3,21,best
391172,36,5,first
400000,38,1,first
384689,14,13,first
400000,28,2,first
387785,27,9,best
400000,40,3,best
387418,30,8,first
365509,4,21,best
387658,22,11,best
387450,40,8,best
400000,33,3,best
384996,34,7,first
366765,8,17,best
387359,11,15,first
366352,1,23,best
400000,25,1,first
396817,37,6,first
384106,13,13,first
390594,39,7,best
394145,35,5,first
370757,20,13,best
384160,19,9,first
390840,40,7,best
387282,33,8,best
384360,1,22,best
384795,36,6,first
394429,39,4,first
384290,12,12,first
366939,16,10,best
384241,2,18,first
384393,18,16,best
384424,13,15,best
370510,31,9,best
390473,30,7,first
396900,27,5,first
348354,4,19,best
384764,22,7,first
400000,29,1,best
366347,15,14,best
384615,1,21,first
384715,16,16,best
367430,12,16,first
384601,22,13,best
393734,35,6,best
384764,26,8,best
387519,19,16,best
366546,18,13,best
366948,11,12,first
366905,14,14,first
351380,11,14,first
393786,39,6,first
366980,14,16,first
384402,15,11,first
384704,24,8,best
370662,33,9,best
383014,40,5,first
384377,24,9,first
384283,12,10,first
384630,18,10,best
365892,14,12,best
367882,3,18,first
384152,14,10,first
390634,27,6,first
384696,17,13,best
384192,9,15,first
367053,30,9,best
384483,26,9,first
391080,38,5,first
384510,24,11,best
365566,4,18,best
384150,19,10,best
366941,10,15,first
384214,22,9,best
384314,15,16,best
384157,23,13,best
367818,12,15,first
384227,17,10,first
400000,38,3,first
349290,10,12,first
384642,17,11,first
400000,40,2,first
387479,29,9,first
390600,32,5,first
400000,35,3,first
351108,2,21,first
366653,6,17,first
367502,15,12,best
384252,21,13,best
400000,31,1,first
366293,20,11,first
366079,11,17,first
345902,12,13,first
384301,13,14,first
390690,32,7,best
367324,3,19,first
384521,16,11,first
384845,22,10,best
384398,2,20,best
400000,36,2,first
396825,39,5,first
387425,19,14,best
384522,15,13,first
400000,27,1,first
367099,16,13,first
384133,13,10,first
400000,32,4,first
387826,40,7,first
348750,13,17,best
384607,26,7,first
366532,25,13,best
384780,35,9,best
384319,25,11,best
332645,4,21,first
387905,35,7,best
367048,15,15,best
400000,29,1,first
369557,1,22,first
384172,13,16,first
390862,37,8,first
384283,1,24,best
368597,40,8,first
384306,12,17,best
400000,38,2,best
371206,2,23,best
390696,38,7,first
384470,16,15,best
384466,28,9,first
384989,22,11,first
384579,16,14,best
390641,37,7,best
348238,3,21,first
384668,24,6,first
384060,5,19,best
384258,7,21,best
384479,14,15,best
367280,1,23,first
384328,17,16,best
366710,18,15,best
384089,19,11,first
384839,37,9,best
384567,20,16,best
400000,39,1,best
384516,20,13,first
400000,40,1,first
387891,21,11,first
388320,33,9,first
394470,37,5,best
384522,1,25,best
384469,16,10,first
384154,13,15,first
365308,4,19,first
400000,36,1,first
384798,22,16,best
384118,5,21,best
331723,6,21,best
400000,34,2,first
367173,15,14,first
384414,31,9,first
367692,9,17,first
384536,25,16,best
384252,7,17,first
384632,22,15,best
384247,17,12,best
384294,10,17,first
366255,19,10,first
367838,16,16,first
349310,21,16,best
400000,38,4,first
366050,24,13,best
384598,15,10,first
384152,19,16,first
400000,33,3,first
384738,33,8,first
367386,24,11,first
348377,2,22,best
384439,21,10,best
400000,37,1,first
385034,24,10,best
368767,8,17,first
368197,1,20,first
387678,38,8,first
